order_id,customer_id,product_id,quantity,order_date,status,total_amount
1001,1,1,1,2026-02-01,Completed,1200.00
1002,2,2,2,2026-02-02,Completed,70.00
1003,3,4,1,2026-02-03,Completed,250.00
1004,4,7,2,2026-02-04,Completed,640.00
1005,5,3,1,2026-02-05,Pending,95.00
1006,1,6,2,2026-02-06,Completed,130.00
1007,2,8,1,2026-02-07,Cancelled,45.00
1008,3,9,1,2026-02-08,Completed,85.00
1009,4,10,5,2026-02-09,Completed,60.00
1010,5,1,1,2026-02-10,Completed,1200.00
1011,1,4,2,2026-02-11,Completed,500.00
1012,2,7,1,2026-02-12,Pending,320.00
1013,3,2,3,2026-02-13,Completed,105.00
1014,4,6,1,2026-02-14,Completed,65.00
1015,5,8,2,2026-02-15,Completed,90.00
