payment_id,order_id,payment_method,payment_status,amount,payment_date
9001,1001,Card,Paid,1200.00,2026-02-01
9002,1002,Mobile Money,Paid,70.00,2026-02-02
9003,1003,Card,Paid,250.00,2026-02-03
9004,1004,Card,Paid,640.00,2026-02-04
9005,1005,Mobile Money,Pending,95.00,2026-02-05
9006,1006,Mobile Money,Paid,130.00,2026-02-06
9007,1007,Card,Refunded,45.00,2026-02-07
9008,1008,Card,Paid,85.00,2026-02-08
9009,1009,Mobile Money,Paid,60.00,2026-02-09
9010,1010,Card,Paid,1200.00,2026-02-10
9011,1011,Card,Paid,500.00,2026-02-11
9012,1012,Mobile Money,Pending,320.00,2026-02-12
9013,1013,Card,Paid,105.00,2026-02-13
9014,1014,Mobile Money,Paid,65.00,2026-02-14
9015,1015,Card,Paid,90.00,2026-02-15
